sort_name,data_range,sort_time(miliseconds)
bubble-sort,10000,169.93
heap-sort,10000,3.7585
merge-sort,10000,11.4016
quick-sort,10000,0.3949
radix-sort,10000,2.0156
shaker-sort,10000,157.713
counting-sort,10000,0.1971
flash-sort,10000,0.8412
bubble-sort,30000,1552.13
heap-sort,30000,12.9951
merge-sort,30000,34.3105
quick-sort,30000,1.2836
radix-sort,30000,7.5851
shaker-sort,30000,1417.7
counting-sort,30000,0.4541
flash-sort,30000,2.5175
bubble-sort,50000,4912.25
heap-sort,50000,23.2375
merge-sort,50000,60.3124
quick-sort,50000,2.663
radix-sort,50000,12.8592
shaker-sort,50000,4260.81
counting-sort,50000,0.7712
flash-sort,50000,4.2937
bubble-sort,100000,18566.6
heap-sort,100000,46.5203
merge-sort,100000,113.704
quick-sort,100000,4.8575
radix-sort,100000,25.7405
shaker-sort,100000,16234.6
counting-sort,100000,1.5902
flash-sort,100000,9.5905
bubble-sort,300000,161207
heap-sort,300000,155.095
merge-sort,300000,338.832
quick-sort,300000,14.9948
radix-sort,300000,92.6879
shaker-sort,300000,147416
counting-sort,300000,5.3022
flash-sort,300000,26.0126
bubble-sort,500000,458014
heap-sort,500000,271.893
merge-sort,500000,566.457
quick-sort,500000,26.5658
radix-sort,500000,156.908
shaker-sort,500000,377953
counting-sort,500000,13.3584
flash-sort,500000,42.12
